image_src,title,price,deal,shop,location
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3599799148/O1CN01woetM82HRpiPHdeYA_!!0-item_pic.jpg,"欧莱雅纷泽丰润雾感唇膏王源色239黑管哑光小棕皮294笑色
口红
220","¥
115.00",10200人付款,欧莱雅彩妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3322428489/O1CN01lsly3y2Ca0gW574Ls_!!0-item_pic.jpg,"Hourglass黄金烟管
口红
唇膏笔持久润泽Confession At Night正品","¥
300.00",3232人付款,hourglass海外旗舰店,香港 新界
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/268021908/O1CN011Pxu9lAXjRpQtqs_!!268021908.jpg,"YSL圣罗兰
口红
礼盒方管/圆管/唇釉12只装套盒10支8支表白生日礼物","¥
768.00",1055人付款,ajian0919,上海
//g-search1.alicdn.com/img/bao/uploaded/i4/i4/3102239719/O1CN01KrUJL12LfLrjaVLZA_!!0-item_pic.jpg,"润百颜上新了故宫
口红
郎窑红联名玻尿酸唇膏限量保湿滋润","¥
199.00",4753人付款,润百颜旗舰店,北京
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/3293599195/O1CN01HRLlAq2HnMJ4rdq3S_!!0-item_pic.jpg,"HOLD LIVE慕斯绒情
口红
套装 哑光雾面196烂番茄316泫雅红棕牛血色","¥
67.00",86646人付款,holdlive旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2200542317543/O1CN0108YU9l25ak1INDgoW_!!2200542317543.jpg,"Chanel/香奈儿
口红
专柜正品43#56#57#58#丝绒炫亮唇膏圣诞限量","¥
238.00",916人付款,朵朵海外代购2018,黑龙江 哈尔滨
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/4260076097/O1CN01HZJq6d1uuTJhpiXLF_!!0-item_pic.jpg,"【官方正品】3CE细管丝绒唇釉砖红豆沙taupe哑光雾面
口红
唇彩唇蜜","¥
110.00",25867人付款,3ce官方旗舰店,江苏 苏州
//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2137789487/O1CN01YFM5qj2Jx5yLq1gwG_!!2137789487.jpg,"正品大牌迪可迪奥官网
口红
999哑光滋润保湿套装礼盒888 520限量版","¥
168.00",7472人付款,安琪苏打绿,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2200542317543/O1CN01fzYprs25ak0YkhLKi_!!2200542317543.jpg,"Chanel香奈儿ROUGE丝绒唇膏
口红
炫亮176 43 58豆沙色56 57 62 184","¥
258.00",1739人付款,朵朵海外代购2018,黑龙江 哈尔滨
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2820842454/O1CN01QTx4821TzyRtwBiYR_!!0-item_pic.jpg,"植村秀限定柔雾唇膏
口红
丝绒雾面哑光保湿润泽RD163正品","¥
215.00",3362人付款,植村秀官方旗舰店,江苏 苏州
//g-search2.alicdn.com/img/bao/uploaded/i4/i3/3375170974/O1CN01EbXMdI1J48GzFmoQG_!!0-item_pic.jpg,"完美日记哑光唇釉女学生雾面染唇液唇蜜唇彩
口红
持久朱正廷同款","¥
39.90",214749人付款,perfectdiary旗舰店,广东 广州
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/533497499/O1CN012cO3ss25GaZZ9OhLY_!!0-item_pic.jpg,"欧莱雅黑管纷泽
口红
女丰润雾感唇膏哑光持久滋润唇彩学生款正品","¥
135.00",7736人付款,欧莱雅官方旗舰店,上海
